timestamp,success,latency,code,size,fill,annotation
1487016457,0,2.523597ms,404,73,,
1487016458,0,2.739684ms,404,73,,
1487016459,0,2.182926ms,404,73,,
1487016460,0,3.347164ms,404,73,,
1487016461,0,2.937326ms,404,73,,
1487016462,0,2.123311ms,404,73,,
1487016463,0,4.082611ms,404,73,,
1487016464,0,2.496555ms,404,73,,
1487016465,0,2.202696ms,404,73,,
1487016466,0,2.155348ms,404,73,,
1487016467,0,1.971215ms,404,73,,
1487016468,0,1.315971ms,404,73,,
1487016469,0,2.053536ms,404,73,,
1487016470,0,2.310811ms,404,73,,
1487016471,0,3.310837ms,404,73,,
1487016472,0,2.189331ms,404,73,,
1487016473,0,3.177754ms,404,73,,
1487016474,0,3.305957ms,404,73,,
1487016475,0,3.488228ms,404,73,,
1487016476,0,2.555778ms,404,73,,
1487016477,0,2.215995ms,404,73,,
1487016478,0,2.158999ms,404,73,,
1487016479,0,2.103957ms,404,73,,
1487016480,0,2.140101ms,404,73,,
1487016481,0,2.174305ms,404,73,,
1487016482,0,2.868751ms,404,73,,
1487016483,0,2.526567ms,404,73,,
1487016484,0,2.100409ms,404,73,,
1487016485,0,2.364317ms,404,73,,
1487016486,0,2.280301ms,404,73,,
1487016487,0,2.369189ms,404,73,,
1487016488,0,2.153628ms,404,73,,
1487016489,0,2.315843ms,404,73,,
1487016490,0,3.617285ms,404,73,,
1487016491,0,1.308273ms,404,73,,
1487016492,0,3.177598ms,404,73,,
1487016493,0,3.275254ms,404,73,,
1487016494,0,2.361575ms,404,73,,
1487016495,0,2.349918ms,404,73,,
1487016496,0,3.342518ms,404,73,,
1487016497,0,2.085264ms,404,73,,
1487016498,0,2.366004ms,404,73,,
1487016499,0,2.084495ms,404,73,,
1487016500,0,3.133133ms,404,73,,
1487016501,0,1.464784ms,404,73,,
1487016502,0,2.911967ms,404,73,,
1487016503,0,3.182565ms,404,73,,
1487016505,0,2.19432ms,404,73,,
1487016506,0,2.498615ms,404,73,,
1487016507,0,2.002361ms,404,73,,
1487016508,0,3.030192ms,404,73,,
1487016509,0,2.27903ms,404,73,,
1487016510,0,2.385439ms,404,73,,
1487016511,0,2.237959ms,404,73,,
1487016512,0,1.421151ms,404,73,,
1487016513,0,1.390648ms,404,73,,
1487016514,0,2.455229ms,404,73,,
1487016515,0,2.452962ms,404,73,,
1487016516,0,2.376877ms,404,73,,
1487016517,0,2.142686ms,404,73,,
1487016518,0,3.094825ms,404,73,,
1487016519,0,2.225616ms,404,73,,
1487016520,0,3.58218ms,404,73,,
1487016521,0,1.355394ms,404,73,,
1487016522,0,1.725351ms,404,73,,
1487016523,0,2.412014ms,404,73,,
1487016524,0,2.475489ms,404,73,,
1487016525,0,4.746938ms,404,73,,
1487016526,0,2.478058ms,404,73,,
1487016527,0,2.180668ms,404,73,,
1487016528,0,3.132324ms,404,73,,
1487016529,0,2.315698ms,404,73,,
1487016530,0,1.613982ms,404,73,,
1487016531,0,2.314698ms,404,73,,
1487016532,0,2.502384ms,404,73,,
1487016533,0,2.271482ms,404,73,,
1487016534,0,2.700252ms,404,73,,
1487016535,0,2.405813ms,404,73,,
1487016536,0,2.604008ms,404,73,,
1487016537,0,3.79882ms,404,73,,
1487016538,0,2.420038ms,404,73,,
1487016539,0,2.104982ms,404,73,,
1487016540,0,4.007502ms,404,73,,
1487016541,0,2.945839ms,404,73,,
1487016542,0,1.355058ms,404,73,,
1487016543,0,2.120647ms,404,73,,
1487016544,0,2.273357ms,404,73,,
1487016545,0,2.258474ms,404,73,,
1487016546,0,2.311594ms,404,73,,
1487016547,0,3.213933ms,404,73,,
1487016548,0,2.392982ms,404,73,,
1487016549,0,2.289109ms,404,73,,
1487016550,0,2.819352ms,404,73,,
1487016551,0,2.192686ms,404,73,,
1487016552,0,2.292083ms,404,73,,
1487016553,0,3.788474ms,404,73,,
1487016554,0,2.972279ms,404,73,,
1487016555,0,3.109913ms,404,73,,
1487016556,0,2.901925ms,404,73,,
1487016557,0,3.197895ms,404,73,,
1487016558,0,2.611ms,404,73,,
1487016559,0,2.216088ms,404,73,,
1487016560,0,2.462823ms,404,73,,
1487016561,0,1.890689ms,404,73,,
1487016562,0,2.730417ms,404,73,,
1487016563,0,2.250991ms,404,73,,
